order_id,business_id,rider_id,flour_id,order_date,total_amount,quantity_bags,price_per_bag,payment_method,order_status
ORD-214576,BIZ-1018,1,1,2025-10-25,247000.0,26,9500.0,POS,Delivered
ORD-299448,BIZ-1006,2,2,2025-10-08,270000.0,27,10000.0,POS,Cancelled
ORD-246991,BIZ-1052,2,3,2025-10-17,205800.0,21,9800.0,Bank Transfer,Cancelled
ORD-392075,BIZ-1035,2,4,2025-10-13,210000.0,20,10500.0,Bank Transfer,Pending
ORD-179046,BIZ-1039,3,2,2025-10-14,380000.0,40,10000.0,POS,Pending
ORD-997546,BIZ-1025,3,2,2025-10-14,90000.0,9,10000.0,Cash,Pending
ORD-153045,BIZ-1001,2,4,2025-10-17,115500.0,11,10500.0,POS,Cancelled
ORD-666847,BIZ-1004,1,5,2025-10-20,190000.0,20,9500.0,Bank Transfer,Delivered
ORD-197793,BIZ-1023,2,5,2025-10-26,352800.0,36,9800.0,POS,Delivered
ORD-989921,BIZ-1032,2,3,2025-10-28,215600.0,22,9800.0,Cash,Delivered
ORD-526156,BIZ-1021,2,4,2025-10-08,63000.0,6,10500.0,Bank Transfer,Pending
ORD-324130,BIZ-1015,1,3,2025-10-15,90000.0,9,10000.0,POS,Cancelled
ORD-161483,BIZ-1037,3,4,2025-10-26,266000.0,28,9500.0,POS,Delivered
ORD-102260,BIZ-1033,2,2,2025-10-05,332500.0,35,9500.0,Cash,Delivered
ORD-378085,BIZ-1007,2,4,2025-10-30,30000.0,3,10000.0,Cash,Delivered
ORD-923267,BIZ-1054,2,3,2025-10-28,152000.0,16,9500.0,POS,Cancelled
ORD-543555,BIZ-1039,1,2,2025-10-14,98000.0,10,9800.0,Cash,Delivered
ORD-865990,BIZ-1033,4,2,2025-10-21,120000.0,12,10000.0,Cash,Delivered
ORD-682765,BIZ-1034,3,3,2025-10-30,73500.0,7,10500.0,Bank Transfer,Delivered
ORD-610311,BIZ-1038,2,2,2025-10-20,300000.0,30,10000.0,Bank Transfer,Delivered
ORD-411120,BIZ-1038,2,5,2025-10-05,136500.0,13,10500.0,Bank Transfer,Pending
ORD-161324,BIZ-1057,2,4,2025-10-07,241500.0,23,10500.0,Bank Transfer,Pending
ORD-668532,BIZ-1048,3,4,2025-10-18,120000.0,12,10000.0,POS,Pending
ORD-428838,BIZ-1009,4,4,2025-10-02,230000.0,23,10000.0,Cash,Cancelled
ORD-712554,BIZ-1010,3,3,2025-10-02,130000.0,13,10000.0,Bank Transfer,Cancelled
ORD-994141,BIZ-1005,2,3,2025-10-15,343000.0,35,9800.0,Bank Transfer,Cancelled
ORD-159642,BIZ-1029,3,5,2025-10-16,220000.0,22,10000.0,POS,Pending
ORD-184002,BIZ-1009,4,1,2025-10-29,270000.0,27,10000.0,POS,Delivered
ORD-171849,BIZ-1061,4,2,2025-10-26,136500.0,13,10500.0,POS,Cancelled
ORD-808011,BIZ-1060,3,1,2025-10-18,210000.0,20,10500.0,Cash,Delivered
ORD-523389,BIZ-1045,4,3,2025-10-26,280000.0,28,10000.0,Cash,Cancelled
ORD-697347,BIZ-1034,1,4,2025-10-04,147000.0,14,10500.0,Cash,Cancelled
ORD-723398,BIZ-1011,3,2,2025-10-08,400000.0,40,10000.0,POS,Pending
ORD-185965,BIZ-1015,1,4,2025-10-02,147000.0,15,9800.0,Bank Transfer,Delivered
ORD-712024,BIZ-1035,4,3,2025-10-13,294500.0,31,9500.0,POS,Cancelled
ORD-431737,BIZ-1029,4,3,2025-10-17,136500.0,13,10500.0,Bank Transfer,Delivered
ORD-314181,BIZ-1055,4,2,2025-10-29,9500.0,1,9500.0,Bank Transfer,Cancelled
ORD-429445,BIZ-1055,3,2,2025-10-21,357000.0,34,10500.0,Bank Transfer,Pending
ORD-515011,BIZ-1038,2,3,2025-10-08,94500.0,9,10500.0,POS,Cancelled
ORD-776856,BIZ-1025,4,2,2025-10-04,346500.0,33,10500.0,POS,Pending
ORD-431535,BIZ-1046,1,5,2025-10-09,290000.0,29,10000.0,POS,Pending
ORD-176066,BIZ-1013,4,4,2025-10-28,160000.0,16,10000.0,POS,Pending
ORD-751332,BIZ-1042,2,5,2025-10-01,160000.0,16,10000.0,POS,Delivered
ORD-204837,BIZ-1017,1,3,2025-10-30,88200.0,9,9800.0,POS,Delivered
ORD-323508,BIZ-1038,4,3,2025-10-03,133000.0,14,9500.0,Cash,Cancelled
ORD-238890,BIZ-1039,3,2,2025-10-16,315000.0,30,10500.0,Cash,Pending
ORD-172132,BIZ-1014,4,3,2025-10-28,361000.0,38,9500.0,Bank Transfer,Pending
ORD-487477,BIZ-1045,4,2,2025-10-27,210000.0,20,10500.0,Cash,Delivered
ORD-559469,BIZ-1012,4,4,2025-10-09,189000.0,18,10500.0,Cash,Pending
